X-Koordinate;Y-Koordinate
0.00000000;4765.00000000
0.00000000;14515.00000000
46545.00000000;6218.00000000
30075.00000000;18367.50058413
16415.00000000;18367.50058413
19505.00000000;18367.50058413
22825.00000000;18367.50058413
32475.00000000;18367.50058413
35000.04036653;18367.50058413
26625.00000000;18367.50058413
44052.50000000;18367.50000000
19099.74601241;3332.50000000
35707.14267568;3332.50000000
15675.61740534;3332.50000000
39314.74601241;3332.50000000
4645.00000000;19870.00004244
1990.00000000;19870.00004244
8015.00000000;19870.00004244
46545.00000000;13314.75000000
11865.61740534;-345.00000000
4645.61740534;-345.00000000
8015.61740534;-345.00000000
1927.50000000;-345.00000000
14305.00000000;1501.00000000
0.00000000;11478.00000000
0.00000000;8103.00000000
28297.24601241;3332.50000000
32272.24601241;3332.50000000
43537.24601241;3332.50000000
23322.24601241;3332.50000000
